"ID";"Intercept";"J-067";"E-045";"J-092";"D2";"J-067:E-045";"J-067:J-092";"J-067:D2";"E-045:J-092";"E-045:D2";"J-092:D2";"J-067:E-045:J-092";"J-067:E-045:D2";"J-067:J-092:D2";"E-045:J-092:D2";"J-067:E-045:J-092:D2";"adj.R2";"df";"LL";"AICc";"ΔAICc";"weight"
"64";31,3165773098426;"+";"+";"+";"+";"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;0,238038622265143;9;-511,489511196155;1042,39634522695;9,99138053512434;0.000743437918026361
"5120";37,4011311431876;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;NA;"+";NA;NA;0,352789843793774;18;-500,31555395549;1042,42771808047;10,0227533886405;0.000731867023832277
"752";31,0739385898564;"+";"+";"+";"+";NA;"+";"+";"+";NA;"+";NA;NA;NA;NA;NA;0,287689465673585;13;-506,876579800533;1042,71250919456;10,3075445027309;0.00063473226431562
"3072";35,1334198399039;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";NA;NA;NA;0,350897381632078;18;-500,515423379079;1042,82745692765;10,4224922358192;0.000599280286335204
"416";31,1729681668034;"+";"+";"+";"+";"+";NA;NA;"+";"+";NA;NA;NA;NA;NA;NA;0,260792042615427;11;-509,414030485267;1042,94006097053;10,5350962787033;0.000566471851613489
"10240";35,7075153260996;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;NA;"+";NA;0,363031155615699;19;-499,22369859403;1042,94312368379;10,5381589919568;0.000565605045054035
"2560";33,6239109406041;"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;NA;"+";NA;NA;NA;0,324683737521162;16;-503,225574587443;1042,98448250822;10,5795178163878;0.000554028772962421
"640";31,052648545826;"+";"+";"+";"+";"+";"+";"+";NA;NA;"+";NA;NA;NA;NA;NA;0,286186261583201;13;-507,020896287734;1043,00114216896;10,5961774771336;0.000549432974944579
"736";31,184984083391;"+";"+";"+";"+";"+";NA;"+";"+";NA;"+";NA;NA;NA;NA;NA;0,285132586325403;13;-507,121874396295;1043,20309838609;10,7981336942557;0.000496661487924768
"80";30,3093271125432;"+";"+";"+";"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;0,232569665705856;9;-511,979132959861;1043,37558875437;10,9706240625376;0.000455621991206448
"143";30,2601756642449;NA;"+";"+";"+";NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;0,206611519837353;7;-514,256532783558;1043,38128262138;10,9763179295496;0.000454326710357684
"46";31,443248752285;"+";NA;"+";"+";NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;0,206387901484669;7;-514,275826347782;1043,41986974983;11,0149050579969;0.000445645147242241
"1280";30,4381242449544;"+";"+";"+";"+";"+";"+";"+";"+";NA;NA;"+";NA;NA;NA;NA;0,283531269103751;13;-507,275050879496;1043,50945135249;11,1044866606569;0.000426124773966858
"32";30,9860687645861;"+";"+";"+";"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,218353621061948;8;-513,23572498482;1043,59644996964;11,1914852778086;0.000407986012791805
"14";31,0840648943539;"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,191964114460232;6;-515,508954581656;1043,66406300947;11,2590983176358;0.000394423960055044
"78";30,193171000276;"+";NA;"+";"+";NA;NA;"+";NA;NA;NA;NA;NA;NA;NA;NA;0,217540267027239;8;-513,306926963926;1043,73885392785;11,3338892360207;0.00037994667439642
"3584";33,4569545616102;"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";"+";NA;NA;NA;0,33305996419007;17;-502,371182460718;1043,88522206429;11,4802573724633;0.000353133737202922
"1728";31,3820983363244;"+";"+";"+";"+";"+";"+";NA;"+";NA;"+";"+";NA;NA;NA;NA;0,280584502394744;13;-507,556036407834;1044,07142240916;11,6664577173335;0.000321740934887349
"336";30,8626532717054;"+";"+";"+";"+";NA;NA;"+";NA;"+";NA;NA;NA;NA;NA;NA;0,254144416543433;11;-510,02693127859;1044,16586255718;11,7608978653498;0.00030690142280619
"4976";33,2098680099546;"+";"+";"+";"+";NA;"+";"+";NA;"+";"+";NA;NA;"+";NA;NA;0,318709662271606;16;-503,828496661793;1044,19032665692;11,785361965088;0.000303170255730658
"1216";30,5202378636059;"+";"+";"+";"+";"+";"+";NA;"+";NA;NA;"+";NA;NA;NA;NA;0,253992822863524;11;-510,040844225388;1044,19368845077;11,7887237589443;0.000302661085830031
"271";31,5120622543132;NA;"+";"+";"+";NA;NA;NA;NA;"+";NA;NA;NA;NA;NA;NA;0,214921130905754;8;-513,535707657819;1044,19641531564;11,791450623808;0.000302248709077554
"224";30,172037828769;"+";"+";"+";"+";"+";NA;"+";"+";NA;NA;NA;NA;NA;NA;NA;0,252357412758479;11;-510,190759291184;1044,49351858237;12,0885538905384;0.000260524937265617
"2944";34,1511363758275;"+";"+";"+";"+";"+";"+";"+";NA;"+";"+";NA;"+";NA;NA;NA;0,330080174470636;17;-502,676349729389;1044,49555660163;12,0905919098043;0.00026025959506101
"6144";36,9050828747169;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";NA;NA;0,355317256482314;19;-500,047712465128;1044,59115142598;12,1861867341511;0.000248112472939254
"4992";34,4737508547825;"+";"+";"+";"+";"+";"+";"+";NA;"+";"+";NA;NA;"+";NA;NA;0,329112576071725;17;-502,775152062225;1044,69316126731;12,2881965754757;0.000235774830756049
"399";31,2164888208172;NA;"+";"+";"+";NA;NA;NA;"+";"+";NA;NA;NA;NA;NA;NA;0,22432159709534;9;-512,711005054731;1044,83933294411;12,4343682522776;0.000219157665419029
"11264";35,959308162504;"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";NA;"+";NA;"+";NA;0,366504830104603;20;-498,849372121104;1044,94012355255;12,5351588607225;0.000208386827474689
"4720";33,6898868358137;"+";"+";"+";"+";NA;"+";"+";NA;NA;"+";NA;NA;"+";NA;NA;0,288958966562543;14;-506,754462938797;1044,95154882841;12,5465841365829;0.000207199782786353
